	MOVIES	YEAR	GENRE	RATING	STARS	VOTES	RunTime
58	Good Girls	(2018–2021)	Comedy, Crime, Drama	7.8	Stars: Christina Hendricks,  Retta,  Mae Whitman,  Reno Wilson	38618.0	43.0
59	13 Reasons Why	(2017–2020)	Drama, Mystery, Thriller	7.6	Stars: Dylan Minnette,  Katherine Langford,  Christian Navarro,  Alisha Boe	266386.0	60.0
60	The Queen's Gambit	(2020)	Drama	8.6	Stars: Anya Taylor-Joy,  Chloe Pirrie,  Bill Camp,  Marcin Dorocinski	336801.0	395.0
61	Legends of Tomorrow	(2016– )	Action, Adventure, Drama	6.8	Stars: Caity Lotz,  Amy Louise Pemberton,  Dominic Purcell,  Nick Zano	95897.0	42.0
62	Star Trek: The Next Generation	(1987–1994)	Action, Adventure, Mystery	8.6	Stars: Patrick Stewart,  Brent Spiner,  Jonathan Frakes,  LeVar Burton	106181.0	44.0
63	Le dernier mercenaire	(2021)	Action, Comedy	5.4	Director: David Charhon |      Stars: Jean-Claude Van Damme,  Alban Ivanov,  Samir Decazza,  Assa Sylla	2606.0	110.0
64	Resort to Love	(2021)	Comedy, Romance	5.7	Director: Steven K. Tsuchida |      Stars: Christina Milian,  Tymberlee Hill,  Kayne Lee Harrison,  Ruth Nadler-Nir	1591.0	101.0
65	Evil	(2019– )	Crime, Drama, Horror	7.7	Stars: Katja Herbers,  Mike Colter,  Aasif Mandvi,  Maddy Crocco	15048.0	42.0
66	The Expanse	(2015– )	Drama, Mystery, Sci-Fi	8.5	Stars: Wes Chatham,  Dominique Tipper,  Steven Strait,  Shohreh Aghdashloo	119644.0	60.0
67	New Amsterdam	(2018– )	Drama	8.1	Stars: Ryan Eggold,  Janet Montgomery,  Freema Agyeman,  Jocko Sims	27709.0	43.0
68	Line of Duty	(2012– )	Crime, Drama, Mystery	8.7	Stars: Martin Compston,  Vicky McClure,  Adrian Dunbar,  Craig Parkinson	46751.0	60.0
69	The 100	(2014–2020)	Drama, Mystery, Sci-Fi	7.6	Stars: Eliza Taylor,  Bob Morley,  Marie Avgeropoulos,  Isaiah Washington	226962.0	43.0
70	New Girl	(2011–2018)	Comedy	7.7	Stars: Zooey Deschanel,  Jake Johnson,  Max Greenfield,  Hannah Simone	200421.0	22.0
71	Prison Break	(2005–2017)	Action, Crime, Drama	8.3	Stars: Dominic Purcell,  Wentworth Miller,  Amaury Nolasco,  Robert Knepper	492438.0	44.0
72	Sex Education	(2019– )	Comedy, Drama	8.3	Stars: Asa Butterfield,  Gillian Anderson,  Ncuti Gatwa,  Emma Mackey	177274.0	45.0
73	A Classic Horror Story	(2021)	Drama, Horror, Mystery	5.7	Directors: Roberto De Feo,  Paolo Strippoli |      Stars: Matilda Anna Ingrid Lutz,  Francesco Russo,  Peppino Mazzotta,  Will Merrick	8822.0	95.0
74	Feels Like Ishq	(2021– )	Comedy, Drama, Romance	6.6	Stars: Jojo Singh,  Mihir Ahuja,  Kajol Chugh,  Sumali Khaniwale	848.0	32.0
75	Young Royals	(2021– )	Drama, Romance	8.6	Stars: Edvin Ryding,  Omar Rudberg,  Frida Argento,  Samuel Astor	16954.0	50.0
76	Shadow and Bone	(2021– )	Action, Adventure, Drama	7.7	Stars: Jessie Mei Li,  Ben Barnes,  Archie Renaux,  Freddy Carter	60283.0	79.83280507131538
77	The Hitman's Bodyguard	(2017)	Action, Comedy, Crime	6.9	Director: Patrick Hughes |      Stars: Ryan Reynolds,  Samuel L. Jackson,  Gary Oldman,  Elodie Yung	205979.0	118.0
78	Mad Men	(2007–2015)	Drama	8.6	Stars: Jon Hamm,  Elisabeth Moss,  Vincent Kartheiser,  January Jones	216203.0	47.0
79	Élite	(2018– )	Crime, Drama, Thriller	7.5	Stars: Itzan Escamilla,  Omar Ayuso,  Miguel Bernardeau,  Arón Piper	59730.0	60.0
